Lambda11(-),Lambda22(-),Lambda33(-),Energy,Sigma11(KPa),Sigma22(KPa)
1.000477,1.000339,0.9991845038737068,0.25346420749286624,0.023382854269849318,0.0209590086711664
1.0,1.000016,0.999984000255996,0.25345503639810174,0.0002810074667252138,0.0005618417381665353
1.000383,1.0,0.9996171466328396,0.25345781937847084,0.014002368117573383,0.007277149425238605
1.000865,1.000137,0.9989988847311366,0.25347165415876927,0.03402748088240237,0.021236703748407137
1.00154,1.000218,0.9982447505977216,0.253506790212268,0.06012772083943396,0.03688244735858959
1.002345,1.000364,0.9972974698809182,0.25357669819762596,0.09212048756976898,0.05725449498773294
1.003037,1.000771,0.9962041220643296,0.25368144673919407,0.12453524970897156,0.0846147247498763
1.004931,1.000754,0.9943434604840152,0.25399096800259785,0.1935239640267863,0.11978408689711273
1.006026,1.001047,0.9929704551000368,0.2542724583072431,0.23868989646655692,0.15067209987640418
1.006871,1.001001,0.9921827135740326,0.2544868511118312,0.26882291742171915,0.16495939967525075
1.007363,1.001033,0.9916664260925152,0.2546330664662101,0.28739199387877434,0.17532621506065027
1.00824,1.001292,0.990547555254794,0.25495501867506265,0.32399374053545493,0.20085049939743627
1.008978,1.00149,0.9896273425158651,0.25525203570095206,0.3544477993161479,0.2216110209335369
1.009609,1.001955,0.9885498391630032,0.25559514315203363,0.385587966423504,0.24967793515680015
1.011856,1.002473,0.9858449232322704,0.25672675653307353,0.4768330919897963,0.30975583063518464
1.013529,1.004101,0.9826218583891084,0.25816333446675277,0.5660252366994545,0.3976853542405969
1.015734,1.004698,0.9799061250271665,0.2597839279370236,0.6570318195593519,0.45942324615150376
1.016622,1.005177,0.9785836459304752,0.2606133053958766,0.6977375103293753,0.4925449938060229
1.017259,1.005807,0.9773582996663236,0.2613805663327449,0.7317807535668184,0.5262435272661712
1.017755,1.00609,0.9766072027164416,0.26189962341067463,0.7547638086342427,0.545252601220028
1.018085,1.006325,0.976062660956416,0.2622787168110963,0.7708420668106069,0.5595177056041916
1.01849,1.006676,0.975334341433629,0.262789683833503,0.7916264613372963,0.5791925027569782
1.019338,1.007537,0.973690161087118,0.2639820477850507,0.83724394890654,0.6247369032751671
