Lambda11(-),Lambda22(-),Sigma11(KPa),Sigma22(KPa),Energy_exp,Lambda33(-),I1,I41,I42
1.0,1.000563,0.0,0.038,0.0,0.9994373167906468,3.000001267162688,1.0,1.0007298210850704
1.000845,1.0,0.1139999999999999,0.0389999999999999,2.647526110796949e-05,0.9991557134221584,3.000002853689142,1.001690714025,1.002419714025
1.001213,1.000182,0.1520000000000002,0.0399999999999998,8.255729593361064e-05,0.9986067231627764,3.0000068920388974,1.0024274713689998,1.0031567367491472
1.001331,1.000457,0.147,0.0,0.0001056741284544,0.9982145851407772,3.000010338397774,1.0026637715609998,1.0033934380192508
1.001555,1.000717,0.1759999999999999,0.0039999999999998,0.000142317696798,0.9977320403978436,3.000016156550444,1.003112418025,1.0038424637857708
1.00151,1.000921,0.2010000000000002,0.043,0.0001386382532802,0.9975735114581872,3.0000180391040177,1.0030222800999995,1.0037526235363674
1.0018669999999998,1.001247,0.2990000000000002,0.0759999999999999,0.0002471138062151,0.9968933531819284,3.0000293983163084,1.0037374856889998,1.0044683049486014
1.00193,1.001638,0.3489999999999999,0.1049999999999998,0.0003028216578609,0.9964415464716704,3.0000381634788544,1.0038637249,1.004595115059939
1.002303,1.002682,0.386,0.2870000000000001,0.0006437926309248,0.995033611476414,3.000074384900795,1.004611303809,1.0053442194087874
1.0029,1.0039,0.4860000000000003,0.4089999999999998,0.0013258829371318,0.9932347700782184,3.000138928492331,1.0058084099999998,1.0065431072880895
1.003863,1.00447,0.5860000000000002,0.4730000000000001,0.0020906338442556,0.9917188819418952,3.000207244469083,1.007740922769,1.008476454595076
1.004575,1.005341,0.6510000000000001,0.4749999999999999,0.0029399943956456,0.9901574046054884,3.000293142801077,1.009170930625,1.009907738598659
1.0047549999999998,1.005802,0.6529999999999999,0.508,0.003282135553318,0.9895262715953288,3.0003325154063525,1.0095326100249995,1.0102700938814757
1.004999,1.006158,0.7800000000000004,0.5710000000000001,0.003647033364467,0.9889359978227864,3.00037131875475,1.010022990001,1.0107609960093829
1.005112,1.006497,0.8090000000000003,0.5740000000000001,0.0039292174702943,0.988491768613192,3.000402320169036,1.010250132544,1.0109886359418256
1.005815,1.006743,0.9090000000000004,0.636,0.0046776643660779,0.987559504989926,3.000469058169948,1.0116638142249998,1.0124026786652076
1.006052,1.006966,0.9480000000000004,0.73,0.0050476929813204,0.9871082105777482,3.000503771250004,1.0121406267039998,1.0128798185068386
1.0061559999999998,1.007408,0.9860000000000004,0.7619999999999999,0.0054750299701226,0.9865731307211192,3.00054731706087,1.0123498963359996,1.0130897372063998
1.006392,1.008199,1.0859999999999996,0.8859999999999999,0.0063647387870088,0.9855679267293042,3.000634219462499,1.012824857664,1.013565860812005
1.006355,1.00885,1.1240000000000003,0.949,0.0069163566545555,0.9849681627521856,3.000690990160416,1.0127503860249998,1.0134923464221022
1.006544,1.009614,1.225,0.952,0.0078564539146495,0.9840380041462672,3.0007820465361688,1.0131308239359995,1.0138739085287378
1.006927,1.010953,1.291,0.9549999999999998,0.0095987853806748,0.9823608547924988,3.000960800566648,1.0139019833289995,1.014647040259824
1.0069279999999998,1.012294,1.3570000000000002,0.9570000000000002,0.0108673663917475,0.9810585333385248,3.001118985456337,1.0139039971839996,1.014651032018835
1.0071789999999998,1.01323,1.4580000000000006,0.93,0.0120901622239338,0.9799079880053304,3.0012642358976542,1.0144095380409996,1.0151579549799838
1.00727,1.01365,1.5230000000000006,0.9340000000000002,0.0126110736752985,0.9794134774652834,3.001329935240639,1.0145928528999997,1.0153418904291025
1.0082719999999998,1.014119,1.5530000000000002,0.907,0.0145660688987717,0.9779876568804676,3.0015096291555468,1.0166124259839997,1.0173621568093512
1.008457,1.015503,1.592,0.971,0.0161351773468398,0.9764756195397896,3.0017364994136164,1.016985520849,1.0177372994330536
1.008584,1.016535,1.6930000000000005,0.9440000000000002,0.0173145731442493,0.9753614562477012,3.0019150616146355,1.0172416850559998,1.0179949923991378
1.009038,1.019162,1.7320000000000004,0.916,0.0204855277908141,0.9724096402570966,3.0024293761529357,1.0181576854439998,1.0189148913158557
1.009663,1.019683,1.806,0.981,0.0220656638386572,0.9713111623272964,3.002618168119604,1.019419373569,1.0201773538125365
1.00932,1.020361,1.8360000000000003,1.015,0.0221102956987486,0.9709956185289692,3.002695923923456,1.0187268624,1.0194858509597642
