Lambda11(-),Lambda22(-),Lambda33(-),Energy,Sigma11(KPa),Sigma22(KPa)
1.0002,1.0,0.9998000399920016,0.25345576295857936,0.007311475047819371,0.003509758879932434
1.0,1.0000889999999998,0.9999110079202952,0.2534551766833022,0.001562145613515753,0.0032536338619806315
1.000583,1.000381,0.9990367067057052,0.2534677894556803,0.027992422126947858,0.02415008003371355
1.002907,1.002538,0.9945771892478588,0.2538554570813977,0.15053262746716634,0.14348671749467456
1.004568,1.003026,0.9924496191910256,0.25424289091069285,0.21961709375523952,0.19011840812684966
1.0065799999999998,1.003358,0.9901381295330404,0.2548321435371015,0.29875681910867513,0.23699329417870807
1.0074299999999998,1.003857,0.988810953903492,0.25522703385405104,0.3383772886534917,0.26980429547031015
1.008025,1.004061,0.9880265122581268,0.2554908845429363,0.36359068859921884,0.2874600819744817
1.008744,1.004352,0.9870362131866,0.25584788790463453,0.39481710200781706,0.31039128660232507
1.009318,1.0047,0.9861331975281185,0.2561915654523903,0.42172932193524204,0.3328867424029145
1.0113649999999998,1.005124,0.9837221196395805,0.2572800235602481,0.503609428667362,0.38327802172072545
1.0124019999999998,1.005389,0.9824554728815224,0.2579224549050151,0.545937870946247,0.4105635047147693
1.012972,1.005947,0.9813579819837108,0.25847438487985136,0.576254453757338,0.44051117019268204
1.013879,1.008004,0.978479241920609,0.2600124135054082,0.6443714932672844,0.5305463722685282
1.015257,1.008619,0.9765553474158598,0.2612662622332863,0.7049771703192995,0.5761351888872941
1.016956,1.008924,0.9746291219822346,0.2626812295468424,0.7719840935696869,0.6157966902800958
1.0182939999999998,1.009682,0.9726177726919456,0.26421791239851067,0.8335039328039322,0.6657132483602428
1.0189279999999998,1.0102939999999998,0.9714237774719916,0.265160413185107,0.8669069910954956,0.698493282811059
1.020492,1.0117109999999998,0.9685764905340724,0.26758522482183555,0.9476645179769942,0.7759060811010077
1.020695,1.011985,0.9681216613043716,0.26798682063042756,0.9596512225104483,0.7892054141759672
1.0217159999999998,1.011733,0.9673951145103296,0.26876520176278146,0.9925682616025622,0.7970669735857552
1.0225099999999998,1.012509,0.96590306394673,0.270179459335952,1.03447037122071,0.838326044900974
1.023394,1.013076,0.9645285929717442,0.27157057847927285,1.076124248839248,0.8734831839290038
1.0242719999999998,1.013772,0.9630401801101328,0.2731256245560155,1.1196977869399873,0.91317208274811
1.025049,1.015434,0.9607351333731274,0.2755514719675731,1.1756525879839863,0.9860928359504886
1.026053,1.016366,0.958914922499448,0.27765556429296817,1.2276533079066638,1.0363159899412864
