Lambda11(-),Lambda22(-),Lambda33(-),Energy,Sigma11(KPa),Sigma22(KPa)
1.0,1.000563,0.9994373167906468,0.253460689446488,0.0098753743435811,0.020291850989631044
1.000845,1.0,0.9991557134221584,0.25346914294413625,0.030897073624165827,0.016580805548818134
1.001213,1.000182,0.9986067231627764,0.2534881740218242,0.04754367154987449,0.029950940608960863
1.001331,1.000457,0.9982145851407772,0.2535038082859511,0.056673240774607336,0.04183676576472095
1.001555,1.000717,0.9977320403978436,0.25353042295588285,0.0694108906010058,0.05520242088855376
1.00151,1.000921,0.9975735114581872,0.25353846368648003,0.07133181312715209,0.06150299791286962
1.0018669999999998,1.001247,0.9968933531819284,0.25359031132070314,0.09007413631260519,0.07969466644021317
1.00193,1.001638,0.9964415464716704,0.2536291942645056,0.09919699457325848,0.09458984866741105
1.002303,1.002682,0.995033611476414,0.2537908344156354,0.1309958371361013,0.13821009069482848
1.0029,1.0039,0.9932347700782184,0.2540793687811768,0.17391994456170679,0.19210233464952253
1.003863,1.00447,0.9917188819418952,0.254389951953612,0.21892343226989297,0.23018754756628113
1.004575,1.005341,0.9901574046054884,0.2547771112367898,0.259922181237803,0.27401422694912014
1.0047549999999998,1.005802,0.9895262715953288,0.2549529107325258,0.2744190534638431,0.29349111307489295
1.004999,1.006158,0.9889359978227864,0.2551273402946821,0.2894353954803943,0.31049975692966036
1.005112,1.006497,0.988491768613192,0.25526550879961446,0.29937419802735654,0.32444823259613464
1.005815,1.006743,0.987559504989926,0.2555713041170484,0.32922994727440447,0.34622560076159736
1.006052,1.006966,0.9871082105777482,0.25572851075403946,0.3416916075788059,0.35844577205158146
1.0061559999999998,1.007408,0.9865731307211192,0.255922150347555,0.353043212923275,0.3758001914170439
1.006392,1.008199,0.9855679267293042,0.25630932280980484,0.3751512624322455,0.407777659190101
1.006355,1.00885,0.9849681627521856,0.2565584157093062,0.38489594431680985,0.4297508063833231
1.006544,1.009614,0.9840380041462672,0.25696312126328563,0.4047761589991197,0.45987710994809206
1.006927,1.010953,0.9823608547924988,0.25775839956607643,0.44143134009618734,0.5136042042839293
