Lambda11(-),Lambda22(-),Lambda33(-),Energy,Sigma11(KPa),Sigma22(KPa)
1.0002,1.0,0.9998000399920016,-0.18979836,0.3115449,0.30137682
1.0,1.0000889999999998,0.9999110079202952,-0.18994522,0.31047082,0.3040936
1.000583,1.000381,0.9990367067057052,-0.18951416,0.31656194,0.3039801
1.002907,1.002538,0.9945771892478588,-0.18753195,0.36150622,0.3222201
1.004568,1.003026,0.9924496191910256,-0.18602228,0.39414525,0.32233548
1.0065799999999998,1.003358,0.9901381295330404,-0.1840558,0.43327546,0.32117367
1.0074299999999998,1.003857,0.988810953903492,-0.1828661,0.42701125,0.32944608
1.008025,1.004061,0.9880265122581268,-0.1820445,0.42140532,0.33297753
1.008744,1.004352,0.9870362131866,-0.18102217,0.41713548,0.33848596
1.009318,1.0047,0.9861331975281185,-0.18016624,0.41778946,0.34548402
1.0113649999999998,1.005124,0.9837221196395805,-0.17721748,0.40884423,0.35675406
1.0124019999999998,1.005389,0.9824554728815224,-0.17566013,0.41029882,0.36477852
1.012972,1.005947,0.9813579819837108,-0.17465925,0.42557502,0.37853336
1.013879,1.008004,0.978479241920609,-0.17259026,0.49861646,0.42977738
1.015257,1.008619,0.9765553474158598,-0.17023802,0.529639,0.4525268
1.016956,1.008924,0.9746291219822346,-0.1674366,0.5578089,0.47184515
1.0182939999999998,1.009682,0.9726177726919456,-0.1649313,0.6117313,0.50350237
1.0189279999999998,1.0102939999999998,0.9714237774719916,-0.16359377,0.6536882,0.52696896
1.020492,1.0117109999999998,0.9685764905340724,-0.16022491,0.76568675,0.58702874
1.020695,1.011985,0.9681216613043716,-0.1597271,0.7870178,0.5982652
1.0217159999999998,1.011733,0.9673951145103296,-0.1581006,0.7985611,0.60261965
1.0225099999999998,1.012509,0.96590306394673,-0.15626287,0.87041306,0.6391456
1.023394,1.013076,0.9645285929717442,-0.15435076,0.93659043,0.6716745
1.0242719999999998,1.013772,0.9630401801101328,-0.15232849,1.0164099,0.71066236
1.025049,1.015434,0.9607351333731274,-0.14980602,1.170892,0.78812766
1.026053,1.016366,0.958914922499448,-0.14727259,1.290081,0.84538555
1.027642,1.017132,0.9567111521167144,-0.14366531,1.4343555,0.9114897
1.029134,1.0176299999999998,0.9548566388162488,-0.14036083,1.5619693,0.9680228
1.030171,1.017952,0.9535937148927656,-0.1380415,1.6543653,1.0084088
