Lambda11(-),Lambda22(-),Lambda33(-),Energy,Sigma11(KPa),Sigma22(KPa)
1.0,1.000563,0.9994373167906468,-0.18993998,0.31346726,0.31112552
1.000845,1.0,0.9991557134221584,-0.18932724,0.31299496,0.29465246
1.001213,1.000182,0.9986067231627764,-0.18904734,0.31668115,0.2943499
1.001331,1.000457,0.9982145851407772,-0.18895054,0.31996226,0.29775405
1.001555,1.000717,0.9977320403978436,-0.18876791,0.32405925,0.30010343
1.00151,1.000921,0.9975735114581872,-0.18879414,0.32585478,0.30382442
1.0018669999999998,1.001247,0.9968933531819284,-0.18849611,0.33219528,0.30634236
1.00193,1.001638,0.9964415464716704,-0.18841934,0.33737588,0.312469
1.002303,1.002682,0.995033611476414,-0.18802118,0.35494065,0.32791376
1.0029,1.0039,0.9932347700782184,-0.18735886,0.3812647,0.34622908
1.003863,1.00447,0.9917188819418952,-0.18641806,0.40472317,0.35105658
1.004575,1.005341,0.9901574046054884,-0.18559599,0.43392158,0.36464238
1.0047549999999998,1.005802,0.9895262715953288,-0.18532324,0.447412,0.37340856
1.004999,1.006158,0.9889359978227864,-0.1850071,0.46016788,0.37983465
1.005112,1.006497,0.988491768613192,-0.18481445,0.47057843,0.38672066
1.005815,1.006743,0.987559504989926,-0.18406677,0.49051118,0.38903236
1.006052,1.006966,0.9871082105777482,-0.18377018,0.50129056,0.393121
1.0061559999999998,1.007408,0.9865731307211192,-0.183537,0.515615,0.4029355
1.006392,1.008199,0.9855679267293042,-0.1830554,0.54367113,0.42092752
1.006355,1.00885,0.9849681627521856,-0.18287516,0.56264853,0.43706536
1.006544,1.009614,0.9840380041462672,-0.18241072,0.59162474,0.45589876
1.006927,1.010953,0.9823608547924988,-0.18149042,0.6476548,0.4906795
1.0069279999999998,1.012294,0.9810585333385248,-0.18092012,0.69797444,0.52855706
1.0071789999999998,1.01323,0.9799079880053304,-0.18021536,0.74275446,0.55602264
1.00727,1.01365,0.9794134774652834,-0.17991209,0.76300263,0.56878304
1.0082719999999998,1.014119,0.9779876568804676,-0.17840624,0.79732895,0.5836787
1.008457,1.015503,0.9764756195397896,-0.17750263,0.8734379,0.6290574
1.008584,1.016535,0.9753614562477012,-0.17681074,0.9341142,0.66468596
1.009038,1.019162,0.9724096402570966,-0.17467213,1.0968106,0.7631333
1.009663,1.019683,0.9713111623272964,-0.17345238,1.141357,0.7862544
1.00932,1.020361,0.9709956185289692,-0.17350674,1.1777687,0.81211805
1.0101019999999998,1.021574,0.9690918423931608,-0.17161131,1.283566,0.8671093
1.010405,1.022089,0.9683130814813748,-0.17079687,1.3261156,0.8914037
1.010512,1.023543,0.966835152630776,-0.1695838,1.4350166,0.95789194
1.011121,1.025076,0.9648077960665866,-0.1675005,1.5736074,1.0361447
1.010965,1.026797,0.9633393233408156,-0.1662302,1.6921635,1.1215281
1.011454,1.028338,0.9614306856651986,-0.16413689,1.8399053,1.2089958
1.011992,1.029008,0.9602938985444148,-0.1626091,1.8936577,1.2375975
1.012158,1.029101,0.9600496369090564,-0.16223907,1.900744,1.2399879
1.0124879999999998,1.03016,0.9587501229508828,-0.16039848,1.9219527,1.2639699
