Lambda11(-),Lambda22(-),Lambda33(-),Energy,Sigma11(KPa),Sigma22(KPa)
1.000477,1.000339,0.9991845038737068,-0.18959427,0.31501794,0.3038957
1.0,1.000016,0.999984000255996,-0.18994427,0.31018686,0.30310392
1.000383,1.0,0.9996171466328396,-0.1896658,0.31176805,0.29937983
1.000865,1.000137,0.9989988847311366,-0.1893096,0.3153758,0.29727364
1.00154,1.000218,0.9982447505977216,-0.18879747,0.3202412,0.2927959
1.002345,1.000364,0.9972974698809182,-0.18816471,0.3276055,0.28859067
1.003037,1.000771,0.9962041220643296,-0.1875844,0.33815694,0.2899561
1.004931,1.000754,0.9943434604840152,-0.18598318,0.35893893,0.276484
1.006026,1.001047,0.9929704551000368,-0.18497658,0.37810683,0.27488065
1.006871,1.001001,0.9921827135740326,-0.1839385,0.35597348,0.2710545
1.007363,1.001033,0.9916664260925152,-0.18330717,0.34292984,0.27009344
1.00824,1.001292,0.990547555254794,-0.18213892,0.32498407,0.2722888
1.008978,1.00149,0.9896273425158651,-0.18113708,0.3111174,0.27416325
1.009609,1.001955,0.9885498391630032,-0.18021822,0.30738878,0.28156805
1.011856,1.002473,0.9858449232322704,-0.1770153,0.27754045,0.28919435
1.013529,1.004101,0.9826218583891084,-0.17421913,0.3053763,0.32357478
1.015734,1.004698,0.9799061250271665,-0.17072964,0.30942917,0.3410716
1.016622,1.005177,0.9785836459304752,-0.16920376,0.32533884,0.35506392
1.017259,1.005807,0.9773582996663236,-0.16798735,0.35162377,0.37288332
1.017755,1.00609,0.9766072027164416,-0.16709805,0.36470342,0.3821652
1.018085,1.006325,0.976062660956416,-0.16648102,0.37626576,0.38975644
1.01849,1.006676,0.975334341433629,-0.16569376,0.39438486,0.401016
1.019338,1.007537,0.973690161087118,-0.16396046,0.44265723,0.42935324
1.020495,1.007567,0.9725572682477356,-0.16201401,0.4543252,0.43799782
1.022205,1.008199,0.9703216839253944,-0.15881062,0.5118313,0.47017646
1.023868,1.008804,0.9681646794017692,-0.15560007,0.57864666,0.5049238
1.024748,1.009883,0.9662997320577532,-0.15346861,0.6691637,0.5500717
1.026264,1.010973,0.9638320157838388,-0.1500864,0.7879753,0.6075313
1.027279,1.012151,0.9617590491800108,-0.14748383,0.9109993,0.66633844
1.028119,1.012958,0.9602076820118162,-0.14537573,1.0073097,0.71163917
1.028804,1.013572,0.9589870691673936,-0.14364958,1.086735,0.7486265
1.029496,1.014985,0.9570083176799632,-0.1413331,1.2421203,0.8224025
1.030153,1.015736,0.9556908396010764,-0.1394906,1.3434858,0.8695779
1.030724,1.016782,0.954178797744159,-0.13756895,1.4740019,0.9311762
1.032066,1.017226,0.9525221352880464,-0.13448143,1.5938263,0.9835539
1.03216,1.01791,0.9517953846546348,-0.13375092,1.6702397,1.0205648
1.032199,1.018442,0.951262255323246,-0.13315344,1.7013178,1.0378733
1.03295,1.018898,0.95014522528426,-0.13094044,1.7165241,1.0475397
1.032759,1.019105,0.9501279179446548,-0.1311574,1.7212629,1.051414
1.033823,1.020271,0.9480653354682014,-0.12704515,1.7958646,1.083632
1.034636,1.020656,0.9469630240943124,-0.12437248,1.84567,1.0997031
1.035461,1.022181,0.9447968784811934,-0.12025499,1.9314411,1.1397002
1.036244,1.023824,0.9425679430069508,-0.11598158,2.0218148,1.1827297
1.037997,1.02461,0.9402542637462412,-0.10991144,2.1374574,1.2191987
1.038586,1.025495,0.9389100521205648,-0.10699463,2.1981564,1.2453432
1.039907,1.027211,0.9361508521188828,-0.100669384,2.3291302,1.2993846
1.040319,1.02801,0.9350527898988604,-0.09827089,2.380558,1.32266
1.041265,1.029075,0.9332364684740444,-0.09380865,2.4729514,1.3591633
1.042322,1.030254,0.9312231978923694,-0.08874035,2.578546,1.4006429
1.043458,1.031296,0.929269522361696,-0.08353615,2.6864061,1.4408627
1.045235,1.032243,0.9268385940976313,-0.07632923,2.8328257,1.4885669
1.046183,1.033154,0.925182224035776,-0.07173681,2.9299283,1.5249429
1.047322,1.034141,0.923294007621382,-0.0663085,3.0447736,1.5668378
1.048507,1.035437,0.921096189985922,-0.060032368,3.1711102,1.6181073
1.049323,1.036872,0.9191061264217096,-0.054157734,3.206297,1.6635437
1.050595,1.03791,0.9170752526598412,-0.047320843,3.250908,1.7056155
1.050496,1.038351,0.9167721494727368,-0.046751976,3.2520604,1.7152925
1.052299,1.040001,0.9137493592440338,-0.036429882,3.3175116,1.7805386
1.053323,1.041999,0.9111106652792124,-0.0280509,3.3646884,1.8453698
1.054942,1.04246,0.9093101046402704,-0.020718098,3.4152164,1.8795619
1.055587,1.043863,0.9075330769331464,-0.01490736,3.4467716,1.9251857
1.057816,1.044357,0.9051923736535744,-0.0048513412,3.5161061,1.9698801
1.058587,1.045798,0.9032867436926312,0.0017766953,3.5523381,2.019506
1.059615,1.046379,0.901909345984855,0.007414341,3.58818,2.0502276
1.061606,1.047062,0.8996306373764149,0.017374039,3.653943,2.0984254
1.06322,1.048314,0.8971921743121594,0.027383327,3.714683,2.157424
1.064022,1.049186,0.8957708084943978,0.033082962,3.7476025,2.1941009
1.065342,1.05031,0.8937034832316023,0.041756153,3.7991166,2.2464066
1.066805,1.051737,0.8912669552695923,0.05201769,3.8586364,2.3104553
1.067529,1.052546,0.8899779221732769,0.057925224,3.894507,2.327847
1.070051,1.053855,0.8867774940578012,0.0755229,4.0143695,2.3091493
1.071104,1.055128,0.8848368698278909,0.08498049,4.071128,2.3256502
1.073051,1.055888,0.8825956490447618,0.09821272,4.1613593,2.3029742
1.074216,1.057693,0.8801339084615899,0.110095024,4.2280583,2.3351827
1.074349,1.058319,0.8795044131494393,0.1126852,4.2396626,2.3532653
1.075913,1.060075,0.8767711528763179,0.1269865,4.323244,2.374796
1.078107,1.060892,0.8743130478549321,0.14239407,4.424858,2.3483462
1.079705,1.061732,0.8723283370756848,0.15449572,4.5013156,2.3376856
1.080623,1.063134,0.8704378862613377,0.164361,4.55437,2.3640194
1.082764,1.063624,0.8683165202950014,0.17890072,4.650796,2.3276525
1.083818,1.06471,0.8665872747853514,0.18881369,4.7068024,2.3398385
1.085394,1.065182,0.8649455419670263,0.2000618,4.779052,2.3171291
1.087257,1.065784,0.8629757488253884,0.21362162,4.8650165,2.2919264
1.0881,1.067397,0.8610040847947794,0.22422934,4.917896,2.3290863
1.089799,1.068587,0.8587044401082324,0.23896742,5.00337,2.329845
1.091479,1.06922,0.8568751377335847,0.25184536,5.082368,2.310862
1.092748,1.070589,0.8547856110251015,0.26471567,5.1517844,2.3296824
1.094171,1.07134,0.8530755204329202,0.27656078,5.22138,2.3219328
1.096342,1.07188,0.8509573239975314,0.29267025,5.321158,2.2875953
1.097198,1.072889,0.8494937736895929,0.30189657,5.3694882,2.304173
