Lambda11(-),Lambda22(-),Sigma11(KPa),Sigma22(KPa),Energy_exp,Lambda33(-),I1,I41,I42
1.0,1.000563,0.0,0.038000000000000055,0.0,0.9994373167906467,3.0000012671626877,1.0,1.0007298210850704
1.000845,1.0,0.11399999999999995,0.03899999999999997,2.6475261107969494e-05,0.9991557134221583,3.000002853689142,1.001690714025,1.002419714025
1.001213,1.000182,0.15200000000000022,0.03999999999999989,8.255729593361064e-05,0.9986067231627763,3.0000068920388974,1.0024274713689998,1.0031567367491472
1.001331,1.000457,0.147,0.0,0.00010567412845449765,0.9982145851407772,3.000010338397774,1.0026637715609998,1.0033934380192508
1.001555,1.000717,0.17599999999999993,0.00399999999999988,0.00014231769679800313,0.9977320403978435,3.000016156550444,1.003112418025,1.0038424637857708
1.00151,1.000921,0.20100000000000023,0.043000000000000066,0.0001386382532802479,0.9975735114581872,3.0000180391040177,1.0030222800999997,1.0037526235363674
1.0018669999999998,1.001247,0.2990000000000002,0.0759999999999999,0.0002471138062151682,0.9968933531819283,3.0000293983163084,1.0037374856889998,1.0044683049486014
1.00193,1.001638,0.3489999999999999,0.10499999999999984,0.00030282165786096855,0.9964415464716705,3.0000381634788544,1.0038637249,1.004595115059939
1.002303,1.002682,0.38600000000000007,0.28700000000000014,0.000643792630924843,0.9950336114764139,3.000074384900795,1.0046113038089999,1.0053442194087874
1.0029,1.0039,0.4860000000000003,0.40899999999999986,0.0013258829371318045,0.9932347700782185,3.000138928492331,1.0058084099999998,1.0065431072880897
1.003863,1.00447,0.5860000000000002,0.4730000000000001,0.0020906338442556443,0.9917188819418952,3.000207244469083,1.007740922769,1.008476454595076
1.004575,1.005341,0.6510000000000001,0.4749999999999999,0.0029399943956456244,0.9901574046054885,3.000293142801077,1.009170930625,1.009907738598659
1.0047549999999998,1.005802,0.6529999999999999,0.508,0.003282135553318083,0.9895262715953289,3.0003325154063525,1.0095326100249997,1.0102700938814755
1.004999,1.0061579999999999,0.7800000000000004,0.5710000000000001,0.0036470333644670794,0.9889359978227863,3.00037131875475,1.010022990001,1.0107609960093829
1.005112,1.006497,0.8090000000000003,0.5740000000000001,0.003929217470294302,0.9884917686131919,3.000402320169036,1.010250132544,1.0109886359418256
1.005815,1.006743,0.9090000000000005,0.636,0.004677664366077932,0.9875595049899261,3.000469058169948,1.0116638142249998,1.0124026786652076
1.006052,1.006966,0.9480000000000005,0.73,0.005047692981320408,0.9871082105777482,3.000503771250004,1.0121406267039998,1.0128798185068386
1.0061559999999998,1.007408,0.9860000000000003,0.7619999999999999,0.005475029970122658,0.9865731307211191,3.00054731706087,1.0123498963359996,1.0130897372063998
1.006392,1.008199,1.0859999999999996,0.8859999999999999,0.006364738787008814,0.9855679267293042,3.000634219462499,1.012824857664,1.013565860812005
1.0063549999999999,1.00885,1.1240000000000003,0.949,0.0069163566545555055,0.9849681627521856,3.000690990160416,1.0127503860249998,1.0134923464221022
1.0065439999999999,1.009614,1.2249999999999999,0.952,0.007856453914649536,0.9840380041462673,3.0007820465361688,1.0131308239359997,1.0138739085287378
1.006927,1.010953,1.2910000000000001,0.9549999999999998,0.009598785380674874,0.9823608547924987,3.000960800566648,1.0139019833289997,1.014647040259824
1.0069279999999998,1.012294,1.3570000000000002,0.9570000000000002,0.010867366391747532,0.9810585333385249,3.001118985456337,1.0139039971839996,1.0146510320188353
1.0071789999999998,1.01323,1.4580000000000006,0.93,0.012090162223933838,0.9799079880053303,3.0012642358976542,1.0144095380409996,1.0151579549799838
1.0072699999999999,1.01365,1.5230000000000006,0.9340000000000002,0.012611073675298571,0.9794134774652834,3.001329935240639,1.0145928528999997,1.0153418904291023
1.0082719999999998,1.014119,1.5530000000000002,0.907,0.01456606889877177,0.9779876568804676,3.0015096291555468,1.0166124259839997,1.0173621568093512
1.008457,1.015503,1.592,0.9709999999999999,0.016135177346839842,0.9764756195397897,3.0017364994136164,1.016985520849,1.0177372994330536
1.008584,1.016535,1.6930000000000005,0.9440000000000002,0.017314573144249383,0.9753614562477011,3.0019150616146355,1.0172416850559998,1.0179949923991378
1.0090379999999999,1.019162,1.7320000000000004,0.9159999999999999,0.020485527790814192,0.9724096402570966,3.0024293761529353,1.0181576854439998,1.0189148913158557
