Lambda11(-),Lambda22(-),Sigma11(KPa),Sigma22(KPa),Energy_exp,Lambda33(-),I1,I41,I42
1.000477,1.000339,0.0,0.0,0.0,0.9991845038737069,3.0000020152313467,1.0009542275290002,1.0009542275290002
1.0,1.000016,0.0890000000000001,0.03799999999999984,0.12700060799999996,0.9999840002559959,3.0000000010239836,1.0,1.0
1.000383,1.0,0.16100000000000012,0.11299999999999982,0.4010622709999999,0.9996171466328396,3.00000058653138,1.000766146689,1.000766146689
1.000865,1.000137,0.134,0.134,0.6691965389999999,0.9989988847311366,3.0000035386880546,1.0017307482249997,1.0017307482249997
1.0015399999999999,1.000218,0.07900000000000007,0.039999999999999675,0.7883269189999996,0.9982447505977216,3.0000110012199075,1.0030823715999997,1.0030823715999997
1.002345,1.000364,0.10500000000000007,0.028999999999999946,0.9225836999999997,0.9972974698809182,3.000025874951881,1.004695499025,1.004695499025
1.003037,1.000771,0.19500000000000028,0.08399999999999988,1.2022406789999998,0.9962041220643296,3.000048470627962,1.0060832233689998,1.0060832233689998
1.004931,1.000754,0.21000000000000013,0.07099999999999988,1.4843297229999997,0.9943434604840152,3.0001138006843266,1.009886314761,1.009886314761
1.006026,1.001047,0.18599999999999997,0.04199999999999994,1.7134945329999995,0.9929704551000367,3.000173733586574,1.012088312676,1.012088312676
1.006871,1.001001,0.21600000000000005,0.1619999999999998,2.0931408309999995,0.9921827135740326,3.0002187497571313,1.0137892106410002,1.0137892106410002
1.007363,1.001033,0.255,0.19399999999999973,2.5442187979999993,0.9916664260925153,3.000249581497102,1.014780213769,1.014780213769
1.00824,1.001292,0.32200000000000023,0.19499999999999987,3.0641240179999993,0.9905475552547941,3.0003180260852496,1.0165478976,1.0165478976
1.008978,1.00149,0.2990000000000002,0.22599999999999965,3.5921451799999993,0.9896273425158653,3.0003811016390136,1.018036604484,1.018036604484
1.009609,1.001955,0.30200000000000016,0.2279999999999999,4.1254928379999996,0.9885498391630033,3.0004549394152,1.019310332881,1.019310332881
1.011856,1.002473,0.33200000000000024,0.19899999999999995,4.660921157,0.9858449232322704,3.000694893127841,1.0238525647360002,1.0238525647360002
1.013529,1.004101,0.36199999999999993,0.19999999999999965,5.228638854999999,0.9826218583891083,3.0010055686260646,1.0272410338409999,1.0272410338409999
1.015734,1.004698,0.40300000000000014,0.2619999999999996,5.901210532999999,0.9799061250271663,3.0013496438257565,1.0317155587559999,1.0317155587559999
1.016622,1.005177,0.40700000000000025,0.2629999999999998,6.579337237999999,0.9785836459304752,3.0015270442955817,1.0335202908839998,1.0335202908839998
1.017259,1.005807,0.44600000000000023,0.3249999999999998,7.359922026999999,0.9773582996663236,3.0016928402566467,1.0348158730809998,1.0348158730809998
1.017755,1.00609,0.4760000000000003,0.3849999999999999,8.231718056999998,0.9766072027164416,3.0018039565226324,1.0358252400249999,1.0358252400249999
1.018085,1.006325,0.5440000000000003,0.477,9.265573321999998,0.976062660956416,3.001885390963319,1.0364970672249998,1.0364970672249998
1.01849,1.006676,0.549,0.4779999999999997,10.305915459999998,0.975334341433629,3.00199552665577,1.0373218800999997,1.0373218800999997
