Lambda11(-),Lambda22(-),Lambda33(-),I1,I41,I42,Energy,Sigma11(KPa),Sigma22(KPa)
1.0,1.0,1.0,3.0,1.0,1.0,-0.20871237,0.35958576,0.17609978
1.006122448979592,1.0,0.9939148073022311,3.000149026515323,1.0122823823406915,1.0,-0.20786974,0.5288429,0.26394367
1.0122448979591836,1.0,0.9879032258064517,3.0005925170031915,1.024639733444398,1.0,-0.20526493,0.7060461,0.34735155
1.0183673469387755,1.0,0.9819639278557114,3.001325208920937,1.0370720533111204,1.0,-0.20092925,0.89177084,0.42660332
1.0244897959183674,1.0,0.9760956175298804,3.002341996501897,1.0495793419408581,1.0,-0.1948933,1.0865788,0.50196457
1.030612244897959,1.0,0.9702970297029704,3.0036379251840177,1.0621615993336109,1.0,-0.18718696,1.291019,0.573689
1.036734693877551,1.0,0.9645669291338582,3.005208186268101,1.0748188254893793,1.0,-0.17783865,1.505631,0.6420164
1.042857142857143,1.0,0.958904109589041,3.0070481117949153,1.0875510204081633,1.0,-0.16687655,1.7309365,0.70717525
1.0489795918367346,1.0,0.953307392996109,3.0091531696310003,1.1003581840899623,1.0,-0.15432763,1.9674544,0.769382
1.0551020408163265,1.0,0.9477756286266925,3.0115189587534994,1.113240316534777,1.0,-0.14021838,2.2156892,0.82884455
1.0612244897959184,1.0,0.9423076923076923,3.0141412047248557,1.1261974177426073,1.0,-0.12457448,2.4761338,0.8857579
1.0673469387755101,1.0,0.936902485659656,3.0170157553486945,1.1392294877134526,1.0,-0.10747254,2.739553,0.93786573
1.073469387755102,1.0,0.9315589353612167,3.0201385764986366,1.1523365264473135,1.0,-0.08913028,2.968834,0.9758887
1.079591836734694,1.0,0.9262759924385633,3.0235057481122354,1.16551853394419,1.0,-0.0682503,3.191059,1.0112929
1.0857142857142856,1.0,0.9210526315789475,3.0271134603425858,1.1787755102040816,1.0,-0.04534161,3.4121208,1.0437641
1.0918367346938775,1.0,0.9158878504672897,3.030958009860581,1.1921074552269888,1.0,-0.020890176,3.6376548,1.0728936
1.0979591836734695,1.0,0.9107806691449813,3.035035796301092,1.2055143690129115,1.0,0.005080819,3.8678694,1.0988035
1.1040816326530611,1.0,0.9057301293900185,3.0393433188467087,1.218996251561849,1.0,0.032548368,4.102964,1.1216092
1.110204081632653,1.0,0.9007352941176471,3.0438771729430067,1.2325531028738026,1.0,0.061490417,4.343135,1.1414223
1.116326530612245,1.0,0.8957952468007312,3.0486340471395543,1.2461849229487716,1.0,0.09188503,4.5885777,1.158349
1.1224489795918366,1.0,0.890909090909091,3.0536107200512186,1.2598917117867554,1.0,0.12371153,4.83948,1.1724916
1.1285714285714286,1.0,0.8860759493670887,3.0588040574345423,1.2736734693877552,1.0,0.15694916,5.0960293,1.1839485
1.1346938775510205,1.0,0.8812949640287769,3.0642110093742536,1.2875301957517702,1.0,0.19157803,5.3584094,1.1928129
1.1408163265306124,1.0,0.8765652951699462,3.0698286075751757,1.3014618908788007,1.0,0.22757882,5.626801,1.1991763
1.146938775510204,1.0,0.8718861209964412,3.075653962755067,1.3154685547688463,1.0,0.264933,5.901381,1.2031236
1.153061224489796,1.0,0.8672566371681415,3.081684262134101,1.3295501874219078,1.0,0.30362177,6.182327,1.2047391
1.1591836734693879,1.0,0.862676056338028,3.087916767016917,1.3437067888379846,1.0,0.34362715,6.469809,1.2041025
1.1653061224489796,1.0,0.8581436077057794,3.0943488104633667,1.3579383590170762,1.0,0.38877112,6.859333,1.2840786
1.1714285714285715,1.0,0.8536585365853658,3.100977795044252,1.372244897959184,1.0,0.43602175,7.2840695,1.382534
1.1775510204081634,1.0,0.8492201039861351,3.1078011906785292,1.386626405664307,1.0,0.4847458,7.730006,1.4865923
1.183673469387755,1.0,0.8448275862068966,3.114816532548616,1.4010828821324448,1.0,0.5458736,8.06412,1.6194639
1.189795918367347,1.0,0.8404802744425386,3.1220214190906037,1.4156143273635986,1.0,0.6107361,8.391775,1.764132
1.195918367346939,1.0,0.8361774744027303,3.1294135100562963,1.4302207413577679,1.0,0.67755085,8.734951,1.9171228
1.2020408163265306,1.0,0.831918505942275,3.136990524644179,1.444902124114952,1.0,0.7462935,9.094238,2.0785708
1.2081632653061225,1.0,0.8277027027027026,3.1447502396965104,1.459658475635152,1.0,0.8169406,9.470211,2.2486033
1.2142857142857144,1.0,0.8235294117647058,3.15269048795989,1.4744897959183676,1.0,0.88946813,9.863434,2.4273376
1.220408163265306,1.0,0.8193979933110368,3.160809156406752,1.489396084964598,1.0,0.96385354,10.274453,2.6148825
1.226530612244898,1.0,0.8153078202995008,3.1691041846153674,1.5043773427738443,1.0,1.0400746,10.703817,2.8113365
1.23265306122449,1.0,0.8112582781456953,3.1775735632060242,1.519433569346106,1.0,1.1181102,11.152049,3.0167913
1.2387755102040816,1.0,0.8072487644151565,3.1862153323311793,1.5345647646813827,1.0,1.1979377,11.61967,3.2313356
1.2448979591836735,1.0,0.8032786885245902,3.1950275802174604,1.5497709287796753,1.0,1.2795386,12.107197,3.4550457
1.2510204081632654,1.0,0.7993474714518759,3.204008441757491,1.5650520616409833,1.0,1.362891,12.615122,3.6879902
1.2571428571428571,1.0,0.7954545454545455,3.2131560971496036,1.580408163265306,1.0,1.4479759,13.14395,3.9302368
1.263265306122449,1.0,0.7915993537964459,3.2224687705835953,1.5958392336526448,1.0,1.5347743,13.69416,4.1818438
1.269387755102041,1.0,0.787781350482315,3.231944728970739,1.611345272802999,1.0,1.6232674,14.266229,4.4428625
1.2755102040816326,1.0,0.784,3.241582280716368,1.626926280716368,1.0,1.7134373,14.860636,4.7133455
1.2816326530612245,1.0,0.7802547770700636,3.251379774533408,1.642582257392753,1.0,1.8052654,15.477832,4.993332
1.2877551020408164,1.0,0.7765451664025356,3.261335598295295,1.6583132028321537,1.0,1.8987348,16.118286,5.2828617
1.2938775510204081,1.0,0.7728706624605678,3.2714481779268056,1.6741191170345688,1.0,1.9938285,16.782452,5.5819683
1.3,1.0,0.7692307692307692,3.2817159763313613,1.6900000000000002,1.0,2.0905304,17.470768,5.8906813
1.0,1.006122448979592,0.9939148073022311,3.000149026515323,1.0,1.0122823823406915,-0.20991528,0.42419386,0.35802412
1.006122448979592,1.006122448979592,0.9878666441746313,3.0004452713542307,1.0122823823406915,1.0122823823406915,-0.20819151,0.59671736,0.44364262
1.0122448979591836,1.006122448979592,0.9818916443106719,3.0010333169522045,1.024639733444398,1.0122823823406915,-0.20472139,0.77741957,0.52502394
1.0183673469387755,1.006122448979592,0.9759884881324514,3.00190796461888,1.0370720533111204,1.0122823823406915,-0.19953603,0.96686935,0.6024418
1.0244897959183674,1.006122448979592,0.9701558876057634,3.0030641705376766,1.0495793419408581,1.0122823823406915,-0.19266558,1.1656184,0.6761522
1.030612244897959,1.006122448979592,0.964392585303155,3.0044970402620055,1.0621615993336109,1.0122823823406915,-0.18413955,1.3742089,0.74640083
1.036734693877551,1.006122448979592,0.9586973535001836,3.006201823438327,1.0748188254893793,1.0122823823406915,-0.17398596,1.5931716,0.8134198
1.042857142857143,1.006122448979592,0.9530689933035094,3.0081739087454196,1.0875510204081633,1.0122823823406915,-0.16223276,1.8230247,0.87743235
1.0489795918367346,1.006122448979592,0.94750633380952,3.010408819039811,1.1003581840899623,1.0122823823406915,-0.14890683,2.0642757,0.9386487
1.0551020408163265,1.006122448979592,0.94200823129225,3.012902206697822,1.113240316534777,1.0122823823406915,-0.13403368,2.3174272,0.9972663
